orcid,nome,genero
orcid.org/0000-0002-5270-4427,Fabio Gozzo,Masculino
orcid.org/0000-0002-5320-9209,Ueverton S. Souza,Masculino
orcid.org/0000-0002-5374-2521,Emilio Francesquini,Masculino
orcid.org/0000-0002-5446-114X,Patrick Flynn,Masculino
orcid.org/0000-0002-5455-8910,Fabio Verdi,Masculino
orcid.org/0000-0002-5494-319X,Magdala de Araujo Novaes,Feminino
orcid.org/0000-0002-5564-698X,Lucas Wanner,Masculino
orcid.org/0000-0002-5591-3750,Jo Ueyama,Masculino
orcid.org/0000-0002-5652-0852,Roberto Lotufo,Masculino
orcid.org/0000-0002-5660-6488,Jose Ferreira de Rezende,Masculino
orcid.org/0000-0002-5760-8426,Carlos Ribeiro,Masculino
orcid.org/0000-0002-5824-7087,Ricardo Terra,Masculino
orcid.org/0000-0002-5861-4414,ALDRI LUIZ DOS SANTOS,Masculino
orcid.org/0000-0002-5868-6661,Ana Shirley Monteiro da Silva,Feminino
orcid.org/0000-0002-5945-0845,Cid de Souza,Masculino
orcid.org/0000-0002-6023-5982,Islene Calciolari Garcia,Feminino
orcid.org/0000-0002-6044-4012,Nuno Antunes,Masculino
orcid.org/0000-0002-6137-874X,JULIAN GUTIERREZ POSADA,Masculino
orcid.org/0000-0002-6197-2626,Thiago Vallin Spina,Masculino
orcid.org/0000-0002-6275-6503,Jéferson Campos Nobre,Masculino
orcid.org/0000-0002-6317-218X,Flavio de Barros Vidal,Masculino
orcid.org/0000-0002-6354-8917,Marcio Seiji Oyamada,Masculino
orcid.org/0000-0002-6393-0876,Celina Miraglia Herrera de Figueiredo,Feminino
orcid.org/0000-0002-6399-8790,Ronaldo Hashimoto,Masculino
orcid.org/0000-0002-6471-4710,Aurelio Oliveira,Masculino
orcid.org/0000-0002-6494-7514,João Paulo Papa,Masculino
orcid.org/0000-0002-6540-8686,Paulo de Geus,Masculino
orcid.org/0000-0002-6560-6965,Eduardo Hideki Tanaka,Masculino
orcid.org/0000-0002-6625-6047,Caetano Traina Junior,Masculino
orcid.org/0000-0002-6731-1482,Julio Cesar Lopez Hernandez,Masculino
orcid.org/0000-0002-6750-5965,Laura Sánchez García,Feminino
orcid.org/0000-0002-6790-5184,Andre Rauber Du Bois,Masculino
orcid.org/0000-0002-6804-1453,Emilia Villani,Feminino
orcid.org/0000-0002-6831-2006,Thiago Noronha,Masculino
orcid.org/0000-0002-6871-8428,ester dal poz,Feminino
orcid.org/0000-0002-6946-9670,Horacio Hideki Yanasse,Masculino
orcid.org/0000-0002-6951-7150,Leo Magalhaes,Masculino
orcid.org/0000-0002-6972-6913,Joaquim F. Martins Filho,Masculino
orcid.org/0000-0002-7002-875X,Ricardo Dahab,Masculino
orcid.org/0000-0002-7006-1621,Rodrigo Mologni Gonçalves dos Santos,Masculino
orcid.org/0000-0002-7270-1477,Ivandré Paraboni,Masculino
orcid.org/0000-0002-7327-848X,Clodoveu Davis,Masculino
orcid.org/0000-0002-7350-8599,Andrey Brito,Masculino
orcid.org/0000-0002-7418-7918,Roberto Scheffel,Masculino
orcid.org/0000-0002-7519-0502,Paulo Drews-Jr,Masculino
orcid.org/0000-0002-7538-7305,Jayme L Szwarcfiter,Masculino
orcid.org/0000-0002-7561-5582,Luciano Gaspary,Masculino
orcid.org/0000-0002-7603-9695,Leonardo Montecchi,Masculino
orcid.org/0000-0002-7618-1405,Cristina D Aguiar,Feminino
orcid.org/0000-0002-7645-7758,Andre Fioravanti,Masculino
orcid.org/0000-0002-7699-8677,Paulo Feofiloff,Masculino
orcid.org/0000-0002-7754-4298,Elisa Yumi Nakagawa,Feminino
orcid.org/0000-0002-7779-1950,Tiago Carvalho,Masculino
orcid.org/0000-0002-7789-3359,Luís Henrique M. K. Costa,Masculino
orcid.org/0000-0002-7860-9575,Edleno Silva de Moura,Masculino
orcid.org/0000-0002-7941-6281,Renato Fileto,Masculino
orcid.org/0000-0002-7959-6569,Célio Albuquerque,Masculino
orcid.org/0000-0002-8007-9817,Markus Endler,Masculino
orcid.org/0000-0002-8055-0680,Silvia Maria Fonseca Silveira Massruhá,Feminino
orcid.org/0000-0002-8105-3627,Carlile Lavor,Masculino
orcid.org/0000-0002-8111-1719,Magnos Martinello,Masculino
orcid.org/0000-0002-8225-1107,Philippe R B Devloo,Masculino
orcid.org/0000-0002-8229-3139,Yoshiko Wakabayashi,Feminino
orcid.org/0000-0002-8253-9004,Helena Maia,Feminino
orcid.org/0000-0002-8340-4881,Simone Dantas; Dantas,Feminino
orcid.org/0000-0002-8341-8183,Vinicius Mota,Masculino
orcid.org/0000-0002-8385-8859,Luanna Tomaz,Feminino
orcid.org/0000-0002-8405-2152,Juliano Lopes de Oliveira,Masculino
orcid.org/0000-0002-8429-4119,Aurea Soriano-Vargas,Feminino
orcid.org/0000-0002-8514-8033,Luis Nonato,Masculino
orcid.org/0000-0002-8588-8197,Anderson Faustino da Silva,Masculino
orcid.org/0000-0002-8603-699X,Juliana Freitag Borin,Feminino
orcid.org/0000-0002-8639-3532,Sheila Almeida,Feminino
