orcid,filiacao orcid,filiacao padronizada
orcid.org/0000-0002-8385-8859,Universidade Federal do Pará,Universidade Federal do Pará
orcid.org/0000-0001-9176-8709,Universidade de São Paulo Câmpus de São Carlos,Universidade de São Paulo
orcid.org/0000-0002-4694-7182,National Academy for Scientific Research,National Academy for Scientific Research
orcid.org/0000-0002-0968-5320,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-1323-0502,Instituto Militar de Engenharia,Instituto Militar de Engenharia
orcid.org/0000-0002-8781-3914,Federal University of Uberlândia,Universidade Federal de Uberlândia
orcid.org/0000-0003-4971-7355,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0003-4268-9726,no info,Instituto Eldorado
orcid.org/0000-0002-8923-2814,Federal University of São Paulo,Universidade Federal de São Paulo
orcid.org/0000-0002-9908-4384,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3425-0481,Federal University of Espirito Santo,Universidade Federal do Espírito Santo
orcid.org/0000-0002-8007-9817,PUC-Rio,Pontifícia Universidade Católica do Rio de Janeiro
orcid.org/0000-0002-4034-0021,Universidade Federal do Tocantins,Universidade Federal do Tocantins
orcid.org/0000-0001-8065-1433,Universidade de São Paulo Instituto de Matemática e Estatística,Universidade de São Paulo
orcid.org/0000-0003-0000-6990,Rio de Janeiro State University,Universidade do Estado do Rio de Janeiro
orcid.org/0000-0002-4711-5783,Universidade Federal do Rio Grande do Sul,Universidade Federal do Rio Grande do Sul
orcid.org/0000-0003-1303-3760,imec-COSIC,Universidade Estadual de Campinas
orcid.org/0000-0001-5159-9517,Laboratório Nacional de Computação Científica,Laboratório Nacional de Computação Científica
orcid.org/0000-0001-5501-9719,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0002-9244-9969,Universidade Federal da Paraíba,Universidade Federal da Paraíba
orcid.org/0000-0003-1707-1887,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-2982-4006,IFSP,Instituto Federal de São Paulo
orcid.org/0000-0002-9936-3770,UFRN,Universidade Federal do Rio Grande do Norte
orcid.org/0000-0002-9835-352X,Federal University of Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0001-6476-4534,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-3094-6847,Aeronautics Institute of Technology,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0001-9538-9538,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-4808-4904,Instituto Tecnológico de Costa Rica,Instituto Tecnológico de Costa Rica
orcid.org/0000-0001-7048-6585,no info,Universidade Federal de Minas Gerais
orcid.org/0000-0002-9682-0075,Instituto Tecnológico de Aeronáutica,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0001-8556-6473,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-8922-6975,Universidade Federal do Paraná,Universidade Federal do Paraná
orcid.org/0000-0001-5195-0215,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-9232-2263,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-8156-7302,no info,Secretaria Municipal de Saude de São Paulo
orcid.org/0000-0002-7100-870X,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-7271-2774,no info,Universidade de São Paulo
orcid.org/0000-0001-7309-4528,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7699-8677,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-7618-1405,no info,Universidade de São Paulo
orcid.org/0000-0002-2614-2723,Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais
orcid.org/0000-0003-1119-2450,Federal University of Pará,Universidade Federal do Pará
orcid.org/0000-0002-7735-5630,Universidade Federal do Rio Grande do Norte,Universidade Federal do Rio Grande do Norte
orcid.org/0000-0002-3831-5230,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0002-1884-8830,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3355-3966,no info,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0001-5191-5209,Universidade de Brasília,Universidade de Brasília
orcid.org/0000-0002-5100-7443,Centro Universitario FEI,Centro Universitario FEI
orcid.org/0000-0002-0023-1971,State University of Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0003-4655-8934,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-6045-1274,Universidade Federal do Paraná,Universidade Federal do Paraná
orcid.org/0000-0001-9665-2238,Universidade Federal do Rio Grande do Norte,Universidade Federal do Rio Grande do Norte
orcid.org/0000-0001-7462-6207,AT&T Bell Laboratories,AT&T Bell Laboratories
orcid.org/0000-0001-8785-5906,University of Waterloo,University of Waterloo
orcid.org/0000-0001-6753-139X,University of São Paulo,Universidade de São Paulo
orcid.org/0000-0002-5662-6593,no info,Centro Universitário FEI
orcid.org/0000-0001-7131-8989,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-8024-8628,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-0281-8952,Federal University of Technology – Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-1736-544X,Universidade Federal de São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0003-2419-6979,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9034-5173,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-6760-4675,University of Coimbra,University of Coimbra
orcid.org/0000-0001-7953-6227,no info,Universidade de Brasília
orcid.org/0000-0001-7326-5032,Universidade do Estado de Santa Catarina - UDESC,Universidade do Estado de Santa Catarina
orcid.org/0000-0002-4641-0684,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-1743-8004,no info,Universidade de São Paulo
orcid.org/0000-0003-1802-7829,Universidade Federal de Viçosa,Universidade Federal de Viçosa
orcid.org/0000-0002-2635-0522,Technische Universität Berlin,Technische Universität Berlin
orcid.org/0000-0001-9383-4546,Johannes Gutenberg University Mainz,Johannes Gutenberg University Mainz
orcid.org/0000-0002-5184-9413,no info,Universidade de São Paulo
orcid.org/0000-0003-1927-0142,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-8980-6208,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-8889-1586,University of Sheffield,University of Sheffield
orcid.org/0000-0003-4523-6466,Universidade Federal de Alagoas,Universidade Federal de Alagoas
orcid.org/0000-0002-7006-1621,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-8746-1680,University of Groningen,University of Groningen
orcid.org/0000-0001-7266-9211,Newcastle University,Newcastle University
orcid.org/0000-0001-5994-6560,IBM,IBM
orcid.org/0000-0001-9097-827X,Centro Universitário da FEI,Centro Universitario FEI
orcid.org/0000-0002-9393-398X,UNIFEI - Universidade Federal de Itajubá,Universidade Federal de Itajubá
orcid.org/0000-0002-7519-0502,Universidade Federal do Rio Grande,Universidade Federal do Rio Grande
orcid.org/0000-0002-2751-0014,Centro Universitário da FEI,Centro Universitario FEI
orcid.org/0000-0002-4799-8774,University of Sao Paulo,Universidade de São Paulo
orcid.org/0000-0003-2256-4379,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-1404-398X,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-3052-3016,Universidade Federal do Paraná,Universidade Federal do Paraná
orcid.org/0000-0002-1386-4794,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-5824-7087,Universidade Federal de Lavras,Universidade Federal de Lavras
orcid.org/0000-0003-0866-6272,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-1720-5080,no info,Universidade Estadual de Campinas
orcid.org/0000-0001-6172-0229,Universidade de Brasília,Universidade de Brasília
orcid.org/0000-0002-5263-1977,University of Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0003-2944-4476,no info,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0002-0689-2703,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5163-2986,Pontifical Catholic University of Goiás,Pontifícia Universidade Católica de Goiás
orcid.org/0000-0001-9502-1362,UNIRIO,UNIRIO
orcid.org/0000-0002-2159-339X,no info,Universidade de Brasília
orcid.org/0000-0003-3551-6480,no info,Universidade de São Paulo
orcid.org/0000-0002-0503-7297,no info,no info
orcid.org/0000-0003-2823-7600,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0002-5017-8320,University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-5804-950X,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-1724-9780,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-7645-7758,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-3308-6384,Universidade Federal de Viçosa,Universidade Federal de Viçosa
orcid.org/0000-0001-9448-2036,University of Ottawa,University of Ottawa
orcid.org/0000-0002-4187-8798,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora
orcid.org/0000-0003-1690-1201,Universidade Federal de Goiás,Universidade Federal de Goiás
orcid.org/0000-0002-0236-0689,Universidade Federal de Santa Catarina,Universidade Federal de Santa Catarina
orcid.org/0000-0001-6627-7692,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0001-8175-8320,Federal University of Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0001-7810-0595,Universidade Federal de Uberlândia,Universidade Federal de Uberlândia
orcid.org/0000-0001-8837-5912,Universidade Estadual de Ponta Grossa - Campus Uvaranas,Universidade Estadual de Ponta Grossa
orcid.org/0000-0001-9584-9477,Universidade Estadual de Campinas Faculdade de Odontologia de Piracicaba,Universidade Estadual de Campinas
orcid.org/0000-0002-0173-4140,Pontificia Universidad Católica del Perú,Pontificia Universidad Católica del Perú
orcid.org/0000-0002-8253-9004,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-4701-2821,Instituto Politécnico de Setúbal Escola Superior de Tecnologia de Setúbal,Instituto Politécnico de Setúbal Escola Superior de Tecnologia de Setúbal
orcid.org/0000-0003-2918-9778,State University of Campinas - Clinic Hospital,Universidade Estadual de Campinas
orcid.org/0000-0002-1445-1238,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0001-7714-2283,Universidade Federal de Pernambuco,Universidade Federal de Pernambuco
orcid.org/0000-0001-5929-593X,Universidade Federal de São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0003-0191-582X,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0002-4424-0888,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0001-9264-5380,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0993-2798,no info,no info
orcid.org/0000-0001-7434-2642,Universidad de la Habana Facultad de Matematica y Computacion,Universidad de la Habana Facultad de Matematica y Computacion
orcid.org/0000-0001-9878-0380,Instituto Federal de Educação Ciência e Tecnologia de São Paulo,Instituto Federal de Educação Ciência e Tecnologia de São Paulo
orcid.org/0000-0003-0290-0080,University of Campinas (UNICAMP),Universidade Estadual de Campinas
orcid.org/0000-0003-0325-1596,no info,IBM Research
orcid.org/0000-0001-9504-496X,Centro de Tecnologia da Informação Renato Archer,Centro de Tecnologia da Informação Renato Archer
orcid.org/0000-0002-0746-4014,Laboratório Nacional de Computação Científica,Laboratório Nacional de Computação Científica
orcid.org/0000-0003-3946-979X,Petrobras,Petrobras
orcid.org/0000-0001-5110-6639,IMDEA Software,IMDEA Software
orcid.org/0000-0002-8786-3313,Universidade Tecnológica Federal do Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-1927-7398,no info,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-7418-7918,Universidade Tecnológica Federal do Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-0517-1496,no info,Universidade Estadual de Campinas
orcid.org/0000-0002-0876-0501,Instituto Nacional de Pesquisas Espaciais,Instituto Nacional de Pesquisas Espaciais
orcid.org/0000-0002-8341-8183,Federal University of Espírito Santo,Universidade Federal do Espírito Santo
orcid.org/0000-0003-2956-6326,Universidade Federal de São Paulo,Universidade Federal de São Paulo
orcid.org/0000-0002-2894-3911,Federal Institute of São Paulo,Universidade Federal de São Paulo
orcid.org/0000-0001-9193-2302,Universidade Federal de Juiz de Fora,Universidade Federal de Juiz de Fora
orcid.org/0000-0003-1781-2630,no info,Universidade de São Paulo
orcid.org/0000-0002-2497-9140,Idiap Research Institute,Idiap Research Institute
orcid.org/0000-0002-3385-5780,University of Ljubljana,University of Ljubljana
orcid.org/0000-0002-5446-114X,University of Notre Dame,University of Notre Dame
orcid.org/0000-0003-0087-6806,no info,Universidade Federal de Minas Gerais
orcid.org/0000-0003-0117-9308,Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo
orcid.org/0000-0002-5233-7639,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,Universidade de São Paulo
orcid.org/0000-0001-9305-5323,no info,Instituto Federal da Paraíba
orcid.org/0000-0002-2316-760X,Dalhousie University,Dalhousie University
orcid.org/0000-0002-5494-319X,Universidade Federal de Pernambuco,Universidade Federal de Pernambuco
orcid.org/0000-0003-4886-7298,Universidade de São Paulo Faculdade de Medicina de Ribeirão Preto,Universidade de São Paulo
orcid.org/0000-0001-6342-428X,Boğaziçi Üniversitesi,Boğaziçi Üniversitesi
orcid.org/0000-0001-7412-5250,Centrum Wiskunde en Informatica,Centrum Wiskunde en Informatica
orcid.org/0000-0001-6332-0296,University of Trento,University of Trento
orcid.org/0000-0001-7093-0244,Tratch Mundi Gerenciamento Ambiental LTDA,Tratch Mundi Gerenciamento Ambiental LTDA
orcid.org/0000-0003-1691-6243,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-1840-2895,Federal Institute of Mato Grosso do Sul,Universidade Federal de Mato Grosso do Sul
orcid.org/0000-0003-2970-2084,Federal University of Amazonas,Universidade Federal do Amazonas
orcid.org/0000-0003-4286-5304,Norwegian University of Science and Technology,Norwegian University of Science and Technology
orcid.org/0000-0002-8111-1719,Universidade Federal do Espírito Santo,Universidade Federal do Espírito Santo
orcid.org/0000-0002-2407-0981,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0158-7432,Universidade Federal do Rio de Janeiro,Universidade Federal do Rio de Janeiro
orcid.org/0000-0002-8727-4500,State University of Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-1310-0997,no info,Radboud University
orcid.org/0000-0002-2042-4623,Universidade Federal de Sergipe,Universidade Federal de Sergipe
orcid.org/0000-0003-1495-5935,University Centre Eurípides of Marília (UNIVEM),Centro Universitário Eurípides de Marília
orcid.org/0000-0003-2483-6382,no info,Instituto Metrópole Digital
orcid.org/0000-0001-8273-9439,Universidade Federal Fluminense,Universidade Federal Fluminense
orcid.org/0000-0003-1766-5757,UFPR,Universidade Federal do Paraná
orcid.org/0000-0001-8969-4683,no info,no info
orcid.org/0000-0002-2347-5215,no info,Centro de Tecnologia da Informação Renato Archer
orcid.org/0000-0001-9152-0658,no info,Universidade Virtual do Estado de São Paulo
orcid.org/0000-0001-5968-7108,Universitat Bern,Universitat Bern
orcid.org/0000-0001-8253-2729,Universidade Federal de São Carlos (UFSCar),Universidade Federal de São Carlos
orcid.org/0000-0002-2739-085X,no info,Universidade Federal De São Carlos
orcid.org/0000-0002-0323-9207,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-4515-2521,Universidade de São Paulo,Universidade de São Paulo
orcid.org/0000-0001-5814-7847,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0003-0037-5972,Universidade Estadual de Campinas,Universidade Estadual de Campinas
orcid.org/0000-0002-5227-9221,Federal University of Technology – Paraná,Universidade Tecnológica Federal do Paraná
orcid.org/0000-0002-2582-1695,Federal University of São Carlos,Universidade Federal de São Carlos
orcid.org/0000-0001-5265-8988,UNESP,Universidade Estadual Paulista
orcid.org/0000-0002-6137-874X,Universidad del Quindío,Universidad del Quindío
orcid.org/0000-0002-6804-1453,Instituto Tecnológico de Aeronáutica,Instituto Tecnológico de Aeronáutica
orcid.org/0000-0002-5270-4427,no info,Universidade Estadual de Campinas
orcid.org/0000-0003-4879-7015,Embrapa Agricultura Digital,Embrapa
orcid.org/0000-0002-0456-7640,University of Campinas (Unicamp),Universidade Estadual de Campinas
