,tipo,url,orientador,avaliador1,avaliador2,avaliador3,avaliador4,avaliador2_filiação,row_idx,orientador_filiação,avaliador2_nome,avaliador2_país,orientador_nome,orientador_país,avaliador1_nome,avaliador1_país,avaliador1_keyword_1,avaliador1_keyword_2,avaliador1_keyword_3,avaliador1_keyword_4,avaliador1_keyword_5,avaliador1_filiação,orientador_keyword_1,orientador_keyword_2,orientador_keyword_3,avaliador2_keyword_1,avaliador4_filiação,avaliador3_filiação,avaliador3_nome,avaliador3_país,avaliador4_nome,avaliador4_país,avaliador1_keyword_6,avaliador2_keyword_2,avaliador2_keyword_3,avaliador2_keyword_4,avaliador2_keyword_5,avaliador2_keyword_6,avaliador1_keyword_7,orientador_keyword_4,orientador_keyword_5,avaliador3_keyword_1,avaliador3_keyword_2,avaliador3_keyword_3,avaliador3_keyword_4,avaliador4_keyword_1,avaliador3_keyword_5,avaliador3_keyword_6,avaliador4_keyword_2,avaliador4_keyword_3,avaliador4_keyword_4,avaliador4_keyword_5,avaliador4_keyword_6,avaliador4_keyword_7
38,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1260506,orcid.org/0000-0001-7878-4990,orcid.org/0000-0003-0125-630X,orcid.org/0000-0001-8024-8628,,,no info,38,State University of Campinas,Pedro Otavio de Campos-Lima,no info,Joao Meidanis,no info,Helio Pedrini,Brazil,image and video processing; machine learning; computer vision,,,,,University of Campinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1236160,orcid.org/0000-0002-7603-9695,orcid.org/0000-0003-4549-7105,orcid.org/0000-0002-0796-3868,,,Instituto Nacional de Pesquisas Espaciais,39,Universidade Estadual de Campinas,Fátima Mattiello-Francisco,Brazil,Leonardo Montecchi,Norway,Cecilia Mary Fischer Rubira Rubira,no info,,,,,,no info,,,,Space engineering,,,,,,,, Verification and Validation,  operation concept,,,,,,,,,,,,,,,,,,,
40,MESTRADO,https://www.repositorio.unicamp.br/acervo/detalhe/1236643,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-0281-8952,orcid.org/0000-0002-7603-9695,,,Universidade Estadual de Campinas,40,Universidade Estadual de Campinas (UNICAMP),Leonardo Montecchi,Norway,Julio Cesar Dos Reis,no info,Rita Cristina Galarraga Berardi,Brazil,,,,,,Federal University of Technology – Paraná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164717,orcid.org/0000-0001-9772-263X,orcid.org/0000-0003-4929-7258,orcid.org/0000-0003-2059-9463,orcid.org/0000-0001-9068-938X,orcid.org/0000-0003-0125-630X,Universidade de São Paulo,41,Universidade Estadual de Campinas,Moacir Ponti,no info,Ricardo Torres,Netherlands,Agma Traina,no info,,,,,,Universidade de São Paulo Instituto de Ciências Matemáticas e de Computação,multimedia retrieval,multimedia classification,machine learning,,University of Campinas,Universidade Estadual de Campinas,Sandra Avila,no info,Helio Pedrini,Brazil,,,,,,,,information visualization,data science,,,,,image and video processing; machine learning; computer vision,,,,,,,,
42,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164217,orcid.org/0000-0002-9545-2098,orcid.org/0000-0002-1736-544X,sem orcid,orcid.org/0000-0003-1908-4753,orcid.org/0000-0002-4830-5298,sem orcid,42,Universidade Estadual de Campinas (UNICAMP),sem orcid,sem orcid,Julio Cesar Dos Reis,no info,Luciana Zaina,Brazil,UX design,UX,Agile UX,Agile practices,,Universidade Federal de São Carlos,,,,,Universidade Estadual de Campinas,Universidade Estadual de Campinas Instituto de Computação,Claudia Medeiros,Brazil,Maria Cecilia Calani Baranauskas,Brazil,,,,,,,,,,Scientific data management, Data interoperability, Open Science,,HCI,,,Socially Aware Design,Organizational Semiotics,Participatory Design,,,
43,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1164423,orcid.org/0000-0003-0125-630X,orcid.org/0000-0003-2973-2232,orcid.org/0000-0001-8597-4987,orcid.org/0000-0003-0467-3133,orcid.org/0000-0002-0512-506X,Universidade Federal do ABC,43,University of Campinas,Ronaldo Prati,no info,Helio Pedrini,Brazil,Erickson R. Nascimento,Brazil,Computer Vision,Pattern Recognition,Underwater Imaging,,,Universidade Federal de Minas Gerais,image and video processing; machine learning; computer vision,,,data mining,no info,Universidade Estadual de Campinas,Esther Luna Colombini,no info,Alexandre Ferreira,no info,, machine learning, artificial intelligence,,,,,,,,,,,,,,,,,,,
44,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165307,orcid.org/0000-0002-2457-0783,orcid.org/0000-0001-5227-7165,orcid.org/0000-0001-9241-2229,sem orcid,,University of Campinas,44,Aarhus University,Marco A. Amaral Henriques,no info,Diego F. Aranha,Denmark,Marcos Simplicio,Brazil,,,,,,Universidade de São Paulo,Cryptography, Computer Security,,,,sem orcid,sem orcid,sem orcid,,,,,,,,,,,,,,,,,,,,,,,,
45,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166371,orcid.org/0000-0002-8803-0401,sem orcid,sem orcid,orcid.org/0000-0003-2419-6979,,sem orcid,45,UNICAMP,sem orcid,sem orcid,Rodolfo Azevedo,Brazil,sem orcid,sem orcid,,,,,,sem orcid,,,,,,Universidade Estadual de Campinas,Hugo E. Hernandez-Figueroa,Brazil,,,,,,,,,,,,Computational electromagnetics,Radiating structures,Microwaves,Photonics,,,,,,,,,
46,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1165291,orcid.org/0000-0003-0125-630X,sem orcid,orcid.org/0000-0001-9034-5173,sem orcid,sem orcid,Universidade de São Paulo,46,University of Campinas,Ricardo Ehlers,Brazil,Helio Pedrini,Brazil,sem orcid,sem orcid,,,,,,sem orcid,image and video processing; machine learning; computer vision,,,Bayesian Methods,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,sem orcid,,Monte Carlo,Econometrics,Time Series,,,,,,,,,,,,,,,,,,
47,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166113,orcid.org/0000-0002-3372-3366,sem orcid,orcid.org/0000-0001-6994-8076,orcid.org/0000-0001-6760-4675,,Federal University of Technology – Paraná,47,Universidade Estadual de Campinas,Thiago Henrique Silva,Brazil,Leandro Villas,Brazil,sem orcid,sem orcid,,,,,,sem orcid,,,,Data Mining,,University of Coimbra,Marilia Curado,no info,,,, Machine  Learning, Social Networks, Urban Computing,,,,,,Communication systems and protocols, wireless networks, quality of experience, quality of service,, resilience, energy efficiency,,,,,,
48,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1166600,orcid.org/0000-0002-3891-1593,sem orcid,sem orcid,orcid.org/0000-0003-0125-630X,,sem orcid,48,Universidade Estadual de Campinas,sem orcid,sem orcid,mario cortes,no info,sem orcid,sem orcid,,,,,,sem orcid,,,,,,University of Campinas,Helio Pedrini,Brazil,,,,,,,,,,,,image and video processing; machine learning; computer vision,,,,,,,,,,,,
49,DOUTORADO,https://www.repositorio.unicamp.br/acervo/detalhe/1167318,orcid.org/0000-0002-4236-8212,sem orcid,orcid.org/0000-0001-7953-6227,orcid.org/0000-0002-9104-613X,orcid.org/0000-0001-5201-1244,no info,49,Universidade Estadual de Campinas,Flavio Elias de Deus,no info,Anderson Rocha,Brazil,sem orcid,sem orcid,,,,,,sem orcid,Machine Intelligence; Digital Forensics; Reasoning for Complex Data,,,,Universidade Estadual de Campinas (UNICAMP),no info,Tiago Fernandes Tavares,Brazil,Jacques Wainer,Brazil,,,,,,,,,,Music Information Retrieval,New Interfaces for Musical Expression,Digital Signal Processing,,,,,,,,,,
